Status,Category,location,percentage_per_category
canceled,papelaria,sao caetano do sul,0.18214936247723132
canceled,papelaria,sorocaba,0.18214936247723132
canceled,papelaria,teresina,0.18214936247723132
canceled,pc_gamer,santo andre,0.18214936247723132
canceled,perfumaria,angra dos reis,0.18214936247723132
canceled,perfumaria,barrinha,0.36429872495446264
canceled,perfumaria,buenopolis,0.18214936247723132
unavailable,perfumaria,campos dos goytacazes,0.18214936247723132
canceled,perfumaria,contagem,0.18214936247723132
canceled,perfumaria,goiania,0.18214936247723132
canceled,perfumaria,governador valadares,0.18214936247723132
canceled,perfumaria,juiz de fora,0.18214936247723132
canceled,perfumaria,montes claros,0.18214936247723132
canceled,perfumaria,piao,0.18214936247723132
unavailable,perfumaria,porto alegre,0.18214936247723132
canceled,perfumaria,rio de janeiro,0.36429872495446264
canceled,perfumaria,sao bernardo do campo,0.18214936247723132
canceled,perfumaria,sao paulo,0.36429872495446264
canceled,pet_shop,cajamar,0.18214936247723132
canceled,pet_shop,rio de janeiro,0.36429872495446264
canceled,pet_shop,sao paulo,0.36429872495446264
canceled,portateis_cozinha_e_preparadores_de_alimentos,novo gama,0.18214936247723132
canceled,relogios_presentes,belo horizonte,0.18214936247723132
canceled,relogios_presentes,cabo frio,0.18214936247723132
canceled,relogios_presentes,caraguatatuba,0.18214936247723132
canceled,relogios_presentes,ferraz de vasconcelos,0.18214936247723132
canceled,relogios_presentes,goiania,0.18214936247723132
canceled,relogios_presentes,guarulhos,0.18214936247723132
canceled,relogios_presentes,jaboatao dos guararapes,0.18214936247723132
canceled,relogios_presentes,paranavai,0.18214936247723132
canceled,relogios_presentes,pindamonhangaba,0.18214936247723132
canceled,relogios_presentes,ponte nova,0.18214936247723132
canceled,relogios_presentes,potirendaba,0.36429872495446264
canceled,relogios_presentes,rio de janeiro,0.18214936247723132
canceled,relogios_presentes,sao jose dos campos,0.18214936247723132
canceled,relogios_presentes,sao luis,0.18214936247723132
canceled,relogios_presentes,sao paulo,0.7285974499089253
canceled,relogios_presentes,taubate,0.18214936247723132
canceled,relogios_presentes,vitoria da conquista,0.18214936247723132
canceled,telefonia,aparecida de goiania,0.18214936247723132
canceled,telefonia,bento goncalves,0.18214936247723132
canceled,telefonia,brasilia,0.18214936247723132
canceled,telefonia,caibate,0.36429872495446264
canceled,telefonia,claudio,0.18214936247723132
canceled,telefonia,italva,0.18214936247723132
canceled,telefonia,jundiai,0.18214936247723132
canceled,telefonia,maracanau,0.18214936247723132
canceled,telefonia,osasco,0.18214936247723132
canceled,telefonia,passo fundo,0.18214936247723132
canceled,telefonia,sao luis,0.18214936247723132
canceled,telefonia,sao paulo,0.546448087431694
canceled,telefonia,seara,0.36429872495446264
canceled,telefonia,uruguaiana,0.18214936247723132
canceled,telefonia_fixa,belford roxo,0.18214936247723132
canceled,telefonia_fixa,itaperuna,0.18214936247723132
canceled,telefonia_fixa,sorocaba,0.18214936247723132
canceled,utilidades_domesticas,arandu,0.18214936247723132
canceled,utilidades_domesticas,artur nogueira,0.36429872495446264
canceled,utilidades_domesticas,balneario camboriu,0.18214936247723132
canceled,utilidades_domesticas,belo horizonte,0.36429872495446264
canceled,utilidades_domesticas,brodowski,0.18214936247723132
canceled,utilidades_domesticas,cabo frio,0.18214936247723132
canceled,utilidades_domesticas,campinas,0.18214936247723132
canceled,utilidades_domesticas,cotia,0.18214936247723132
canceled,utilidades_domesticas,cristina,0.18214936247723132
canceled,utilidades_domesticas,fortaleza,0.18214936247723132
canceled,utilidades_domesticas,governador valadares,0.18214936247723132
canceled,utilidades_domesticas,guarulhos,0.18214936247723132
canceled,utilidades_domesticas,londrina,0.18214936247723132
canceled,utilidades_domesticas,macae,0.18214936247723132
canceled,utilidades_domesticas,mateus leme,0.18214936247723132
canceled,utilidades_domesticas,pedro de toledo,0.18214936247723132
canceled,utilidades_domesticas,piracicaba,0.18214936247723132
canceled,utilidades_domesticas,rio de janeiro,0.7285974499089253
canceled,utilidades_domesticas,rio grande,0.18214936247723132
canceled,utilidades_domesticas,santana de parnaiba,0.9107468123861566
canceled,utilidades_domesticas,santo andre,0.18214936247723132
canceled,utilidades_domesticas,santo antonio de padua,0.546448087431694
canceled,utilidades_domesticas,sao bernardo do campo,0.18214936247723132
canceled,utilidades_domesticas,sao paulo,2.185792349726776
canceled,utilidades_domesticas,vespasiano,0.36429872495446264
canceled,utilidades_domesticas,vitoria,0.18214936247723132
